IdCliente;nome;sexo;cidade;estado;idade
3001;Valentina Simões;F;Caxias do Sul;RS;30
3002;Giovanna Guimarães;M;Cx do Sul;RS;43
3003;Luiza Lorenzi ;F;Caxias;RS;23
3004;Helena Brito ;F;Caxias do Sul;;18
3005;Beatriz Nunes;F;Porto Alegre;RS;34
3006;Pedro Cunha ;M;Florianópolis;SC;87
3007;Samuel Fernandes;X;Floripa;SC;54
3008;Lorenzo Rodrigues;M;Erechim;RS;34
3009;Lucas Martins;M;Curitiba;PR;33
3010;Matheus Souza ;M;Blumenau;SC;43
3011;Rafael Viana ;O;Floripa;SC;23
3012;João Lima;M;Caxias;RS;38
3013;Valentina Almeida;F;Blumenau;SC;34
3014;Felipe Ferreira;F;Coritiba;PR;32
3015;Rafaela Ramos ;;Pato Branco;PR;28
3016;Laura Moreira ;M;Curitibas;X;45
3017;Beatriz Amorim ;F;Blumenau;SC;43
3018;Gabriel Costa;M;POA;RS;34
3019;Bernardo Oliveira;F;Porto Alegre;;46
